iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS
42,2025-01-14 15:46:28.724355,7.479857735997515,7.507704778665665,60.661302885860685,64.2123307769449,58.71379415037026,58.731665558874944,58.71379392655121,175.59799820546021,1.0,0.0,0.0,-74.85601839675837,1.0
43,2025-01-14 15:46:33.112056,7.541705646104696,7.577277148982061,60.706745249006765,64.23044272249004,58.77492889250417,58.80279298372738,58.77492866668996,174.80992039096407,1.0,0.0,0.0,-75.5232976462139,1.0
44,2025-01-14 15:46:37.312133,7.603888391550452,7.645673483782527,60.75262046254906,64.24849333261504,58.83677751656758,58.872362612799286,58.83677728981861,174.02451137224907,1.0,0.0,0.0,-75.83592308833431,1.0
45,2025-01-14 15:46:41.769984,7.666209195870489,7.713093440178402,60.798687304989855,64.26648194590727,58.898960557285555,58.94075670188882,58.89896033015118,173.24179992836721,1.0,0.0,0.0,-75.96482436838414,1.0
46,2025-01-14 15:46:46.268374,7.728543046032189,7.77966494332496,60.84482076957825,64.28440816933497,58.96128138953847,59.00817472915514,58.96128116236768,172.4618031607171,1.0,0.0,0.0,-75.97700175836053,1.0
47,2025-01-14 15:46:50.649737,7.790803320805924,7.845477528440966,60.89094141708486,64.3022717236017,59.023615082256576,59.07474452439778,59.02361485529117,171.6845332219051,1.0,0.0,0.0,-75.9083123551818,1.0
48,2025-01-14 15:46:55.120637,7.852926672869478,7.910597476140162,60.936994186462414,64.32007238750381,59.08587506444945,59.14055556534357,59.08587483786629,170.90999973683034,1.0,0.0,0.0,-75.78047149024769,1.0
49,2025-01-14 15:46:59.420971,7.887258850072393,7.962897885035083,60.85466462908366,64.21645511588792,59.147950711413024,59.20564947251086,59.14795051913387,175.41854205524345,1.0,0.0,0.0,-64.30753613585694,1.0
50,2025-01-14 15:47:03.790758,7.9225854514667855,8.013635219181037,60.88110707477929,64.22865717865189,59.182284186241965,59.25794704002217,59.182283991186694,174.8876120714163,1.0,0.0,0.0,-65.2360048997025,1.0
51,2025-01-14 15:47:08.057476,7.867707574656172,7.9672649781072415,59.18025188229426,59.174423860010904,59.217528553216816,59.308593611176576,59.21752860998275,0.0,0.0,0.0,0.0,18.98529847892405,1.0
52,2025-01-14 15:47:12.482703,7.8135819881089175,7.920142441116318,59.127184447240914,59.12234364970347,59.16265211316728,59.262222111305,59.16265216783305,0.0,0.0,0.0,0.0,18.282903843669374,1.0
53,2025-01-14 15:47:17.223792,7.760062071604453,7.872414236462547,59.07452063406142,59.070430188844085,59.108527671086556,59.21509854833582,59.108527724061496,0.0,0.0,0.0,0.0,17.717407061468293,1.0
54,2025-01-14 15:47:21.411215,7.707034745964931,7.824193438265436,59.02219019477132,59.01867706685154,59.055008677291084,59.16736950102247,59.05500872889086,0.0,0.0,0.0,0.0,17.257485324080335,1.0
55,2025-01-14 15:47:25.737190,7.654410975154309,7.775569084167576,58.97013664226823,58.96707243488566,59.00198210216842,59.11914800698916,59.0019821526416,0.0,0.0,0.0,0.0,16.880696075531887,1.0
56,2025-01-14 15:47:30.060203,7.602119615121707,7.726612327127885,58.9183138841194,58.91560204403813,58.94935894589813,59.070523076032586,58.94935899544334,0.0,0.0,0.0,0.0,16.57033632909588,1.0
57,2025-01-14 15:47:34.413662,7.550103176080944,7.6773806477591195,58.866683966753754,58.86425103315952,58.89706809161834,59.02156583935839,58.897068140396065,0.0,0.0,0.0,0.0,16.31365502760218,1.0
58,2025-01-14 15:47:38.822456,7.498314846344115,7.627920860526953,58.81521543226696,58.81300492543804,58.845052070492045,58.97233376029208,58.845052118632964,0.0,0.0,0.0,0.0,16.100673838650437,1.0
59,2025-01-14 15:47:43.234536,7.4467162593619545,7.578271333423031,58.763882121253495,58.76185019880716,58.793264087188355,58.922873639392996,58.79326413479958,0.0,0.0,0.0,0.0,15.923517876217375,1.0
60,2025-01-14 15:47:47.687629,7.3952758131546386,7.528463665907865,58.71266221111787,58.71077453998025,58.74166578811361,58.87322383335991,58.74166583528336,0.0,0.0,0.0,0.0,15.775868109244584,1.0
61,2025-01-14 15:47:52.072788,7.304411692942316,7.460781364966178,58.58766848696436,58.56375964718932,58.690131085163145,58.82337984709052,58.69013118781587,0.0,0.0,0.0,0.0,34.33208380840824,1.0
62,2025-01-14 15:47:56.471859,7.215130337440705,7.39151630049458,58.50212968548657,58.481735288069075,58.59927160036084,58.755693879910154,58.599271698595004,0.0,0.0,0.0,0.0,32.85430263076705,1.0
63,2025-01-14 15:48:00.906031,7.127158206936961,7.320942015378822,58.41734742552922,58.399783573960995,58.5099940266701,58.68642572830436,58.509994121249356,0.0,0.0,0.0,0.0,31.631919246706275,1.0
64,2025-01-14 15:48:05.282234,7.0402881804647865,7.249265631030735,58.333211345367374,58.31795205369468,58.42202504279842,58.615848806321026,58.42202513430096,0.0,0.0,0.0,0.0,30.60291675581084,1.0
65,2025-01-14 15:48:09.517799,6.954357013891562,7.176650391760356,58.24963471987307,58.23626796223879,58.335157670224014,58.544170148253095,58.335157759105584,0.0,0.0,0.0,0.0,29.726335899908918,1.0
66,2025-01-14 15:48:13.940845,6.86923255524832,7.103228443446312,58.1665465188278,58.15474517134869,58.24922876437138,58.47155293517546,58.24922885100088,0.0,0.0,0.0,0.0,28.973134052989735,1.0
67,2025-01-14 15:48:18.452412,6.78480576802234,7.029108824979364,58.083887075335255,58.07338866879343,58.16410624623995,58.39812926487335,58.16410633092178,0.0,0.0,0.0,0.0,28.32173785179748,1.0
68,2025-01-14 15:48:22.924994,6.700985382894338,6.954382799990493,58.00160544278573,57.992197549411,58.079681134620614,58.3240081384111,58.079681217609554,0.0,0.0,0.0,0.0,27.755554407349337,1.0
69,2025-01-14 15:48:27.522980,6.617694186622102,6.879127592313623,57.919657617975105,57.91116703574278,57.99586220333967,58.24928078891589,57.9958622848513,0.0,0.0,0.0,0.0,27.261467601533695,1.0
70,2025-01-14 15:48:32.046795,6.534866266438374,6.803409107965161,57.83800531325983,57.830289901947296,57.9125722733952,58.17402441515648,57.91257235361351,0.0,0.0,0.0,0.0,26.828919640138338,1.0
71,2025-01-14 15:48:36.516546,6.452444995556159,6.727283978282966,57.756615002543896,57.74955743316819,57.82974545979828,58.098304902245665,57.82974553888137,0.0,0.0,0.0,0.0,26.44924467176679,1.0
72,2025-01-14 15:48:40.823570,6.370381435093186,6.6508011355836265,57.675457228308844,57.66896013441602,57.74732515849538,58.02217886389065,57.747325236579854,0.0,0.0,0.0,0.0,26.115260267260965,1.0
