iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,J41_LEVEL,J2U_LEVEL,J42_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V41_FLOW,V41_STATUS,V_U_FLOW,V_U_STATUS,V42_FLOW,V42_STATUS,plc4AttackerUnit
79,55:18.7,5.983201915,6.015074528,56.73169293,56.74248068,56.78360319,57.40635936,56.7858993,5.490899587,56.73169297,57.40635963,0,0,0,0,-95.86218125,1,-11.47850109,1,-90.04939411,1,0
80,55:23.9,6.054342434,6.077991192,67.34598811,62.36561199,57.61206556,57.31014792,57.57978548,6.284785283,67.34598753,57.31014775,0,0,311.0767304,1,66.42183583,1,193.7428888,1,58.7434569,1,0
81,55:28.9,6.12480897,6.14074834,67.36075326,62.4012552,57.67764906,57.37306424,57.64565585,6.35065565,67.36075268,57.37306407,0,0,310.2985049,1,65.79255189,1,193.1960738,1,58.59452652,1,0
82,55:34.1,6.194616904,6.20333418,67.37545434,62.43679951,57.74272788,57.43582102,57.71101383,6.41601363,67.37545376,57.43582085,0,0,309.5236567,1,65.17763571,1,192.6526951,1,58.43458057,1,0
83,55:39.1,6.26378088,6.265737717,67.39009135,62.47223983,57.8073085,57.49840647,57.77586633,6.480866134,67.39009077,57.4984063,0,0,308.7521854,1,64.57639193,1,192.1127062,1,58.26436946,1,0
84,55:44.7,6.332314808,6.327948655,67.40466386,62.50757116,57.87139702,57.56080959,57.8402198,6.545219612,67.40466329,57.56080942,0,0,307.9841134,1,63.98813389,1,191.5760608,1,58.08454798,1,0
85,55:50.4,6.357990509,6.355796435,67.20075612,61.90953361,57.69928622,57.62296492,57.67299445,6.377994375,67.20075555,57.62296484,0,0,318.7314575,1,23.97265386,1,191.2307827,1,26.000663,1,0
86,55:55.7,6.383594062,6.383375267,67.20679816,61.92558889,57.7246965,57.65081241,57.69843271,6.403432641,67.20679759,57.65081233,0,0,318.4130006,1,23.90529722,1,191.0202005,1,25.74955323,1,0
87,56:01.0,6.409117586,6.410694791,67.21280964,61.94150626,57.75000631,57.67839096,57.72377356,6.428773486,67.21280907,57.67839089,0,0,318.0961537,1,23.83056982,1,190.8101746,1,25.50744539,1,0
88,56:06.4,6.43455384,6.437763988,67.21878979,61.95728966,57.77521034,57.70571022,57.74901141,6.454011339,67.21878922,57.70571015,0,0,317.7809589,1,23.7490917,1,190.6007745,1,25.27372236,1,0
89,56:11.4,6.45989623,6.464591217,67.22473892,61.97294334,57.80030391,57.73277916,57.77414133,6.479141259,67.22473835,57.73277909,0,0,317.4673989,1,23.661451,1,190.3920407,1,25.04780179,1,0
90,56:16.5,6.485138754,6.491184247,67.23065669,61.98847091,57.82528279,57.75960615,57.79915886,6.504158794,67.23065612,57.75960607,0,0,317.1554912,1,23.56821269,1,190.1840197,1,24.82913898,1,0
