iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,P2_FLOW,P2_STATUS,P2_SPEED,P1_FLOW,P1_STATUS,P1_SPEED,plc3AttackerUnit,plc2AttackerUnit
427,2025-12-25 19:36:05.061956,7.439816939329935,7.530078689587662,58.44022952656965,58.4512476077765,58.45933953370914,58.82499102860267,58.460227662840744,0.0,0.0,0.0,0.0,0.0,0.0,0,0
428,2025-12-25 19:36:09.986384,7.372188692884714,7.460738429543679,58.37196658310662,58.38284262902285,58.3912158602241,58.755650921016226,58.39210931789239,0.0,0.0,0.0,0.0,0.0,0.0,0,0
429,2025-12-25 19:36:15.859129,7.3044953018460115,7.391463315807304,58.30368562458432,58.31443112558177,58.32306405180989,58.686375948127356,58.32396244895669,0.0,0.0,0.0,0.0,0.0,0.0,0,0
430,2025-12-25 19:36:21.157106,7.236741681132592,7.322248433469656,58.235388181761735,58.24601366224042,58.25488633245952,58.61716119590421,58.255789306972204,0.0,0.0,0.0,0.0,0.0,0.0,0,0
431,2025-12-25 19:36:26.762170,7.168932381093366,7.253089232167983,58.167075646360324,58.17759075101158,58.18668474616491,58.54800211479592,58.187591961236414,0.0,0.0,0.0,0.0,0.0,0.0,0,0
432,2025-12-25 19:36:32.856379,7.101071613627276,7.1839815000103755,57.521835257754354,57.5397337855163,57.588786749683265,58.47875499396467,57.591777086526,0.0,0.0,0.0,0.0,0.0,0.0,0,0
433,2025-12-25 19:36:38.261664,6.980250510431385,7.068211740627359,57.40302504632677,57.4212615590274,57.46950987567853,58.36298478551968,57.47248255285951,0.0,0.0,0.0,0.0,0.0,0.0,0,0
434,2025-12-25 19:36:43.309370,6.859553284921579,6.952318106528745,57.28423793728655,57.30279713644855,57.35027984843045,58.247090724374814,57.35323576222547,0.0,0.0,0.0,0.0,0.0,0.0,0,0
435,2025-12-25 19:36:48.640683,6.738973810386055,6.8363067244279465,57.16546901422283,57.184338600623164,57.23109208251819,58.13107893613749,57.23403213780208,0.0,0.0,0.0,0.0,0.0,0.0,0,0
436,2025-12-25 19:36:53.579362,6.618506173699905,6.7201835074525995,57.04671987854656,57.06588667292909,57.11194596940313,58.01495533289624,57.11487099034073,0.0,0.0,0.0,0.0,0.0,0.0,0,0
437,2025-12-25 19:36:59.760296,6.498144818441543,6.603954012013637,56.92798987417805,56.94744115640698,56.99283963679698,57.898725470076144,56.995750402023724,0.0,0.0,0.0,0.0,0.0,0.0,0,0
438,2025-12-25 19:37:04.479058,6.37788447205216,6.487623510675428,56.80927834830887,56.829001852344504,56.87377128983485,57.782394619305904,56.87666853520389,0.0,0.0,0.0,0.0,0.0,0.0,0,0
439,2025-12-25 19:37:10.269346,6.257720130607812,6.3711970073606174,56.69058465268021,56.71056856077316,56.75473920769406,57.66596778362009,56.757623628858575,0.0,0.0,0.0,0.0,0.0,0.0,0,0
440,2025-12-25 19:37:16.093040,6.1376470444399,6.25467925173317,56.57190814612479,56.59214108161353,56.635741741333376,57.549449711839664,56.638613996151726,0.0,0.0,0.0,0.0,0.0,0.0,0,0
