iteration,timestamp,P79,T41,T42,P1,J2,J13,V1F,V2F
192.0,2024-12-25 13:14:51.746919,0.0,10.668000221252441,10.668000221252441,1.0,65.28253936767578,64.81592559814453,91.1146011352539,-9.534632682800293
193.0,2024-12-25 13:15:00.070926,0.0,10.668000221252441,10.668000221252441,1.0,65.28253936767578,64.81592559814453,91.1146011352539,-9.714086532592773
194.0,2024-12-25 13:15:08.647034,0.0,10.668000221252441,10.668000221252441,1.0,65.22673797607422,64.74372863769531,92.82938385009766,-9.714080810546875
195.0,2024-12-25 13:15:16.962811,0.0,10.668000221252441,10.668000221252441,1.0,65.22673797607422,64.74372863769531,92.82939147949219,-9.714086532592773
196.0,2024-12-25 13:15:24.370749,0.0,10.668000221252441,10.668000221252441,1.0,65.22673797607422,64.74372863769531,92.82939147949219,-9.714086532592773
197.0,2024-12-25 13:15:32.376711,0.0,10.668000221252441,10.668000221252441,1.0,65.22673797607422,64.74372863769531,92.82938385009766,-9.714086532592773
198.0,2024-12-25 13:15:40.221729,0.0,10.668000221252441,10.668000221252441,1.0,65.22673797607422,64.74372863769531,92.82938385009766,-9.714086532592773
199.0,2024-12-25 13:15:48.741766,0.0,10.668000221252441,10.668000221252441,1.0,65.22673797607422,64.74372863769531,92.82939147949219,-9.714086532592773
200.0,2024-12-25 13:15:56.838696,0.0,10.668000221252441,10.668000221252441,1.0,65.22673797607422,64.74372863769531,92.82938385009766,-9.714080810546875
201.0,2024-12-25 13:16:04.600760,0.0,10.668000221252441,10.668000221252441,1.0,65.22673797607422,64.74372863769531,92.82939147949219,-9.714086532592773
202.0,2024-12-25 13:16:12.503844,0.0,10.585339546203613,10.609861373901367,0.0,61.96045684814453,61.96293640136719,-7.952322483062744,20.923137664794922
203.0,2024-12-25 13:16:20.654614,0.0,10.510836601257324,10.54356575012207,0.0,61.87876510620117,61.904781341552734,-3.652113199234009,20.923137664794922
204.0,2024-12-25 13:16:28.513011,0.0,10.438105583190918,10.475497245788574,0.0,61.804447174072266,61.83848190307617,-3.652113199234009,25.2376766204834
205.0,2024-12-25 13:16:36.520741,0.0,10.345332145690918,10.39276123046875,0.0,61.804447174072266,61.83848190307617,-2.718081474304199,31.511137008666992
206.0,2024-12-25 13:16:44.654228,0.0,10.254364967346191,10.39276123046875,0.0,61.63820266723633,61.6876335144043,-3.549516439437866,32.46357345581055
207.0,2024-12-25 13:16:52.731746,0.0,10.254364967346191,10.308218002319336,0.0,61.54736328125,61.60308837890625,-2.98410964012146,33.029178619384766
208.0,2024-12-25 13:16:59.856912,0.0,10.164470672607422,10.136301040649414,0.0,61.457550048828125,61.51747131347656,-2.6232903003692627,33.390140533447266
209.0,2024-12-25 13:17:07.935851,0.0,9.986504554748535,10.04954719543457,0.0,61.36839294433594,61.43116760253906,-2.3843607902526855,33.390140533447266
210.0,2024-12-25 13:17:16.064046,0.0,9.898055076599121,9.96248722076416,0.0,61.27967071533203,61.34441375732422,-2.3843607902526855,33.62916564941406
211.0,2024-12-25 13:17:24.074889,0.0,9.809815406799316,9.875215530395508,0.0,61.27967071533203,61.34441375732422,-2.222708225250244,33.90177536010742
212.0,2024-12-25 13:17:32.031971,0.0,9.721721649169922,9.875215530395508,0.0,61.191246032714844,61.25735092163086,-2.035188674926758,33.978485107421875
213.0,2024-12-25 13:17:40.418248,0.0,9.721721649169922,9.787799835205078,0.0,61.01493835449219,61.082664489746094,-1.9818404912948608,34.03186798095703
214.0,2024-12-25 13:17:47.409594,0.0,9.633728981018066,9.612693786621094,0.0,60.92695236206055,60.995147705078125,-1.944508671760559,34.06920623779297
215.0,2024-12-25 13:17:55.759948,0.0,9.457934379577637,9.525055885314941,0.0,60.83903884887695,60.90755844116211,-1.9184473752975464,34.095279693603516
216.0,2024-12-25 13:18:03.946933,0.0,9.370097160339355,9.437383651733398,0.0,60.75116729736328,60.81991958618164,-1.9001450538635254,34.095279693603516
217.0,2024-12-25 13:18:11.964623,0.0,9.293992042541504,9.357308387756348,0.0,60.663875579833984,60.732269287109375,-1.9001450538635254,34.113590240478516
218.0,2024-12-25 13:18:20.016804,0.0,9.217288970947266,9.27783203125,0.0,60.663875579833984,60.732269287109375,-0.9215354919433594,31.12584114074707
219.0,2024-12-25 13:18:28.181826,0.0,9.140157699584961,9.27783203125,0.0,60.51096725463867,60.57271957397461,-1.1469403505325317,30.90028190612793
220.0,2024-12-25 13:18:36.293856,0.0,9.140157699584961,9.198783874511719,0.0,60.433807373046875,60.49367141723633,-1.3054202795028687,30.741708755493164
221.0,2024-12-25 13:18:43.174934,0.0,8.985084533691406,9.041497230529785,0.0,60.356353759765625,60.41492462158203,-1.4154832363128662,30.631580352783203
222.0,2024-12-25 13:18:51.220827,0.0,8.907299995422363,8.963102340698242,0.0,60.2786979675293,60.336387634277344,-1.4912246465682983,30.631580352783203
223.0,2024-12-25 13:18:59.697874,0.0,8.82941722869873,8.884804725646973,0.0,60.200904846191406,60.257991790771484,-1.4912246465682983,30.555801391601562
224.0,2024-12-25 13:19:07.989965,0.0,8.75146770477295,8.806574821472168,0.0,60.200904846191406,60.257991790771484,-1.543017029762268,30.468759536743164
225.0,2024-12-25 13:19:16.048793,0.0,8.67347240447998,8.72839069366455,0.0,60.123016357421875,60.17969512939453,-1.602191686630249,30.44477653503418
226.0,2024-12-25 13:19:23.814926,0.0,8.59544563293457,8.72839069366455,0.0,59.967063903808594,60.02328109741211,-1.6184049844741821,30.428543090820312
227.0,2024-12-25 13:19:31.761016,0.0,8.59544563293457,8.650237083435059,0.0,59.889034271240234,59.945125579833984,-1.6293625831604004,30.417579650878906
228.0,2024-12-25 13:19:38.461002,0.0,8.517398834228516,8.493985176086426,0.0,59.81098556518555,59.86699295043945,-1.636762261390686,30.410179138183594
229.0,2024-12-25 13:19:46.357356,0.0,8.35908031463623,8.414448738098145,0.0,59.732826232910156,59.78887176513672,-1.8806636333465576,30.410179138183594
230.0,2024-12-25 13:19:54.429668,0.0,8.278938293457031,8.334794998168945,0.0,59.6525764465332,59.70933532714844,-1.8806636333465576,30.908052444458008
231.0,2024-12-25 13:20:02.569780,0.0,8.198875427246094,8.2550630569458,0.0,59.6525764465332,59.70933532714844,-1.8189393281936646,31.011333465576172
232.0,2024-12-25 13:20:10.690662,0.0,8.118865966796875,8.2550630569458,0.0,59.572444915771484,59.62968063354492,-1.7493720054626465,31.039405822753906
233.0,2024-12-25 13:20:18.839390,0.0,8.118865966796875,8.175276756286621,0.0,59.41238021850586,59.47016143798828,-1.7304409742355347,31.058349609375
234.0,2024-12-25 13:20:25.921904,0.0,8.03889274597168,8.015609741210938,0.0,59.3324089050293,59.390342712402344,-1.7175885438919067,31.071203231811523
235.0,2024-12-25 13:20:33.896852,0.0,7.8790106773376465,7.9357476234436035,0.0,59.252464294433594,59.31049728393555,-1.7088618278503418,31.071203231811523
236.0,2024-12-25 13:20:42.051078,0.0,7.799089431762695,7.855874061584473,0.0,59.17253112792969,59.23063278198242,-1.7088618278503418,31.079933166503906
237.0,2024-12-25 13:20:49.897974,0.0,7.719175815582275,7.7759928703308105,0.0,59.17253112792969,59.23063278198242,-1.70293390750885,31.08989143371582
238.0,2024-12-25 13:20:58.135646,0.0,7.719175815582275,7.7759928703308105,0.0,59.012699127197266,59.07087707519531,-1.6961658000946045,31.092632293701172
239.0,2024-12-25 13:21:06.097812,0.0,7.6392669677734375,7.616216659545898,0.0,58.93278884887695,58.99099349975586,-1.6942999362945557,31.094499588012695
240.0,2024-12-25 13:21:14.004674,0.0,7.479459762573242,7.5363240242004395,0.0,58.85288619995117,58.911102294921875,-1.6930309534072876,31.09576416015625
241.0,2024-12-25 13:21:21.932029,0.0,7.4174299240112305,7.468052387237549,0.0,58.77369689941406,58.83123779296875,-1.6930309534072876,31.09576416015625
