iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS,V2_FLOW,V2_STATUS,T41MiM
77,2024-12-25 12:59:07.815958,6.0748079734649085,5.9710810171884825,57.49387884206195,57.29727039198756,57.493878929468,57.2972704068049,57.50492806976432,0.0,0.0,0.0,0.0,-29.23284883706856,1.0,4.955641437049962,1.0,0
78,2024-12-25 12:59:15.979773,5.950351694501968,5.928904997743091,57.36118488298193,57.26604607725877,57.36118495309994,57.266046109364055,57.36954898959406,0.0,0.0,0.0,0.0,-23.450883267059908,1.0,10.737575136658961,1.0,0
79,2024-12-25 12:59:24.261653,6.311250968967153,5.903791829113242,57.49112968098123,57.223891629094524,57.49112837555143,57.22389163430252,57.24721198385754,0.0,0.0,469.0932142536549,1.0,436.599454080806,1.0,1.7418071576003058,1.0,0
80,2024-12-25 12:59:32.741384,6.633530924798139,5.901244683780697,57.81156859197859,57.19879166702004,57.81156736694,57.19879163666047,57.607759483901916,0.0,0.0,454.1047252306322,1.0,409.7127099464615,1.0,-10.153723901566991,1.0,0
81,2024-12-25 12:59:39.593131,6.9272221119807655,5.9135619611730865,58.10606572864652,57.19624830976469,58.10606456535531,57.19624825597168,57.92980101799669,0.0,0.0,441.2907147610179,1.0,389.0613718391478,1.0,-17.99100864786851,1.0,0
82,2024-12-25 12:59:47.707867,7.197015795107402,5.93710546803457,58.37796630613541,57.208573890542695,58.37796519591582,57.20857381905139,58.223307468620625,0.0,0.0,429.4599143462571,1.0,371.3116308085773,1.0,-23.91018208300011,1.0,0
83,2024-12-25 12:59:55.705420,7.0044338239249715,5.96305512653363,58.461024180045364,57.23211974283143,58.46102435749043,57.232119667546804,58.491434482477395,0.0,0.0,0.0,0.0,-59.34629420039528,1.0,-25.178855773901887,1.0,0
84,2024-12-25 13:00:03.740130,6.820819207332403,5.9800374258803695,58.27210717755656,57.25806166290983,58.272107340935186,57.258061601762435,58.298901644789446,0.0,0.0,0.0,0.0,-54.64178571799039,1.0,-20.450676276482227,1.0,0
85,2024-12-25 13:00:11.923605,6.601346419127264,5.958622599004557,58.084019523959036,57.27502749268919,58.08401968768691,57.2750274767529,58.11507868418611,0.0,0.0,0.0,0.0,-54.75859652733561,1.0,-5.329872361699017,1.0,0
86,2024-12-25 13:00:19.967132,6.391859499146954,5.927221899854911,57.86866177304714,57.253602386087245,57.868661921032384,57.253602385890275,57.895667083773574,0.0,0.0,0.0,0.0,-49.49349061234898,1.0,-0.06587611608210864,1.0,0
