iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,T41MiM
172,2024-12-24 16:17:12.465368,10.668000000000001,10.668000000000001,79.05306439881174,78.90262221240505,78.9390158325419,78.843447865091,78.93901583254184,0.0,0.0,36.29157630975043,1.0,1
173,2024-12-24 16:17:19.446599,10.668000000000001,10.668000000000001,79.05306442056268,78.90262224782285,78.93901589389964,78.84344791205444,78.9390158938996,0.0,0.0,36.291572260326426,1.0,1
174,2024-12-24 16:17:26.098675,10.668000000000001,10.668000000000001,79.0530643710221,78.9026221671542,78.93901575414945,78.8434478050891,78.93901575414938,0.0,0.0,36.29158148340279,1.0,1
175,2024-12-24 16:17:32.633160,10.668000000000001,10.668000000000001,79.05306437736569,78.90262217748366,78.93901577204424,78.84344781878582,78.93901577204419,0.0,0.0,36.29158030240457,1.0,1
176,2024-12-24 16:17:39.539914,10.668000000000001,10.668000000000001,79.05306438087047,78.90262218319069,78.93901578193099,78.8434478263532,78.93901578193093,0.0,0.0,36.29157964991028,1.0,1
177,2024-12-24 16:17:46.493527,10.668000000000001,10.668000000000001,79.05306437847045,78.90262217928267,78.93901577516073,78.84344782117124,78.93901577516068,0.0,0.0,36.29158009672749,1.0,1
178,2024-12-24 16:17:53.210257,10.668000000000001,10.668000000000001,79.0530643527186,78.90262213734995,78.93901570251667,78.84344776556911,78.9390157025166,0.0,0.0,36.291584891009094,1.0,1
179,2024-12-24 16:17:59.957997,10.668000000000001,10.668000000000001,79.05306437226164,78.9026221691726,78.93901575764613,78.84344780776547,78.93901575764608,0.0,0.0,36.29158125263502,1.0,1
180,2024-12-24 16:18:06.599211,10.668000000000001,10.668000000000001,79.05306434001889,78.90262211667059,78.93901566669179,78.84344773814861,78.93901566669172,0.0,0.0,36.29158725534077,1.0,1
181,2024-12-24 16:18:13.425228,10.668000000000001,10.668000000000001,79.0791966475931,78.9639572761703,78.99183503617343,78.91862984431907,78.99183503617336,0.0,0.0,31.426479862446786,1.0,1
182,2024-12-24 16:18:19.566181,10.668000000000001,10.668000000000001,79.0791966658863,78.96395730463118,78.99183508393247,78.91862988136938,78.99183508393241,0.0,0.0,31.426476456758493,1.0,1
183,2024-12-24 16:18:26.031419,10.668000000000001,10.668000000000001,79.07919673926186,78.96395741879013,78.99183527549889,78.91863002998171,78.99183527549884,0.0,0.0,31.426462796273675,1.0,1
184,2024-12-24 16:18:32.337194,10.668000000000001,10.668000000000001,79.07919681629107,78.9639575386335,78.99183547660401,78.91863018599393,78.99183547660395,0.0,0.0,31.426448455581816,1.0,1
185,2024-12-24 16:18:38.779565,10.668000000000001,10.668000000000001,79.07919666222668,78.96395729893752,78.99183507437824,78.91862987395744,78.99183507437817,0.0,0.0,31.426477138078106,1.0,1
186,2024-12-24 16:18:45.262801,10.668000000000001,10.668000000000001,79.07919669275738,78.96395734643762,78.9918351540866,78.9186299357931,78.99183515408656,0.0,0.0,31.42647145411401,1.0,1
187,2024-12-24 16:18:51.796827,10.668000000000001,10.668000000000001,79.07919672227739,78.9639573923654,78.9918352311565,78.918629995582,78.99183523115643,0.0,0.0,31.42646595831276,1.0,1
188,2024-12-24 16:18:58.161606,10.668000000000001,10.668000000000001,79.07919669245246,78.96395734596328,78.99183515329055,78.91862993517559,78.9918351532905,0.0,0.0,31.426471510883886,1.0,1
189,2024-12-24 16:19:04.540791,10.668000000000001,10.668000000000001,79.07919675127472,78.96395743747993,78.99183530686169,78.91863005431213,78.99183530686165,0.0,0.0,31.426460559817635,1.0,1
190,2024-12-24 16:19:11.000573,10.668000000000001,10.668000000000001,79.07919670667263,78.96395736808728,78.99183519041608,78.91862996397666,78.99183519041604,0.0,0.0,31.42646886347932,1.0,1
191,2024-12-24 16:19:17.550078,10.668000000000001,10.668000000000001,79.07919669657096,78.96395735237091,78.99183516404297,78.91862994351705,78.9918351640429,0.0,0.0,31.426470744131326,1.0,1
192,2024-12-24 16:19:24.279279,10.668000000000001,10.668000000000001,79.0791967744394,78.96395747352,78.99183536733923,78.91863010122913,78.99183536733919,0.0,0.0,31.426456247202072,1.0,1
193,2024-12-24 16:19:31.150369,10.668000000000001,10.668000000000001,79.07602023645444,78.95673258639866,78.98558979066988,78.90981280738707,78.98558979066982,0.0,0.0,32.01783909353196,1.0,1
194,2024-12-24 16:19:38.148274,10.668000000000001,10.668000000000001,79.07602013148878,78.95673242215722,78.98558951392232,78.90981259307017,78.98558951392225,0.0,0.0,32.017858635209386,1.0,1
195,2024-12-24 16:19:45.134366,10.668000000000001,10.668000000000001,79.07602024521395,78.95673260010484,78.98558981376488,78.90981282527214,78.98558981376483,0.0,0.0,32.01783746275548,1.0,1
196,2024-12-24 16:19:51.850293,10.668000000000001,10.668000000000001,79.07602024375076,78.95673259781533,78.98558980990698,78.90981282228456,78.98558980990694,0.0,0.0,32.01783773515758,1.0,1
197,2024-12-24 16:19:58.650712,10.668000000000001,10.668000000000001,79.07602018470735,78.95673250542914,78.9855896542359,78.90981270173081,78.98558965423582,0.0,0.0,32.01784872739749,1.0,1
198,2024-12-24 16:20:05.240345,10.668000000000001,10.668000000000001,79.07602023873663,78.95673258996968,78.98558979668707,78.90981281204688,78.98558979668704,0.0,0.0,32.01783866864738,1.0,1
199,2024-12-24 16:20:11.877660,10.668000000000001,10.668000000000001,79.07602014626269,78.95673244527413,78.98558955287447,78.90981262323517,78.9855895528744,0.0,0.0,32.01785588471857,1.0,1
200,2024-12-24 16:20:18.857517,10.668000000000001,10.668000000000001,79.07602020580748,78.95673253844488,78.98558970986758,78.9098127448127,78.98558970986753,0.0,0.0,32.01784479914185,1.0,1
201,2024-12-24 16:20:25.786947,10.668000000000001,10.668000000000001,79.07602013590588,78.95673242906868,78.98558952556824,78.90981260208885,78.98558952556819,0.0,0.0,32.01785781286905,1.0,1
202,2024-12-24 16:20:32.485669,10.654422129017291,10.647285599232525,61.94743627862179,61.94024532150378,61.96256785770142,61.96299064512804,61.962995721363384,0.0,0.0,0.0,0.0,0
203,2024-12-24 16:20:39.138771,10.637584840357043,10.629830616492372,61.93187334960455,61.9229774573441,61.948778436235294,61.94227878626954,61.94941575582143,0.0,0.0,0.0,0.0,0
