iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,J5S_LEVEL,J1S_LEVEL,J4S_LEVEL,P2_FLOW,P2_STATUS,P1_FLOW,P1_STATUS,V5_FLOW,V5_STATUS,V1_FLOW,V1_STATUS,V4_FLOW,V4_STATUS,plc4AttackerUnit
58,2025-07-10 10:23:48.926913,6.017197358804203,6.068235912657662,57.070295983983925,57.077401898329484,57.087213371054894,57.363167920344274,57.08798520182454,5.792985371048757,57.07029600271831,57.36316808887735,0.0,0.0,0.0,0.0,-56.596840616975896,1.0,-6.265691598628109,1.0,-56.365687505604,1.0,0
59,2025-07-10 10:23:51.617089,5.956579809628834,6.007865944859633,57.00977308136295,57.01689788515583,57.0266691593343,57.30279793047743,57.02744017953728,5.732440348731931,57.00977310008461,57.30279809904006,0.0,0.0,0.0,0.0,-56.586952101156385,1.0,-6.2614354516199455,1.0,-56.37557312411445,1.0,0
60,2025-07-10 10:23:54.592127,5.895972848992189,5.947485385595517,67.35464819262076,62.39797865177271,57.570061448485355,57.24256697860669,57.536872932011796,6.241872718150618,67.35464761170455,57.242566792615314,0.0,0.0,310.6202840544534,1.0,71.52561957923353,1.0,194.28673684274145,1.0,62.20459678786483,1.0,0
61,2025-07-10 10:23:57.660990,5.972579732958901,6.0141090715838885,67.37035827686726,62.43562443772484,57.64020375402853,57.30919032780217,57.60733335173181,6.312333139931093,67.37035769769828,57.30919014222616,0.0,0.0,309.7922542692542,1.0,70.83650041408873,1.0,193.7023843731822,1.0,62.065679510396876,1.0,0
62,2025-07-10 10:24:00.359756,6.0484485416899965,6.080583967478576,67.38600299644833,62.47317581278802,57.7098055267047,57.375664857924015,57.677244631394736,6.382244421607506,67.38600241901574,57.375664672800006,0.0,0.0,308.96766965271456,1.0,70.16309045866365,1.0,193.12164774532903,1.0,61.914506615607934,1.0,0
63,2025-07-10 10:24:03.883275,6.123596097318238,6.146896951601198,67.401582259639,62.51062708900895,57.77887318907918,57.441977449349615,57.74661363499063,6.451613427172262,67.40158168393211,57.44197726471192,0.0,0.0,308.14653503937194,1.0,69.50460743951226,1.0,192.54449219147318,1.0,61.751857479634964,1.0,0
64,2025-07-10 10:24:07.106125,6.198038387834323,6.213035730481521,67.41709569303885,62.547972767852805,57.847413053786816,57.50811581055923,57.81544708939898,6.5204468835069935,67.41709511904713,57.50811562644001,0.0,0.0,307.32887011000435,1.0,68.86033282398785,1.0,191.97084817619725,1.0,61.5784564297428,1.0,0
65,2025-07-10 10:24:10.135876,6.271790639287049,6.278988795980679,67.4325431320549,62.58520780183286,57.915431326424766,57.57406843522747,57.883751582589305,6.588751378583178,67.43254255976794,57.57406825165679,0.0,0.0,306.5146835397961,1.0,68.22960892293395,1.0,191.40069831564688,1.0,61.394995922796625,1.0,0
66,2025-07-10 10:24:12.904104,6.344867361473282,6.344745366198212,67.44792413871728,62.622327295254486,57.982934090905225,57.6398245431564,57.95153355436217,6.656533352203266,67.44792356812478,57.63982436016248,0.0,0.0,305.7039984127791,1.0,67.61180702028469,1.0,190.833990458259,1.0,61.20210177755325,1.0,0
67,2025-07-10 10:24:16.191534,6.417282389715251,6.410295338462517,67.4632390759569,62.65932709498752,58.04992749454189,57.70537403323709,58.018799482244034,6.723799281895438,67.4632385070487,57.705373850846385,0.0,0.0,304.8967955999945,1.0,67.00635055153725,1.0,190.27067824708865,1.0,61.00035635313361,1.0,0
68,2025-07-10 10:24:19.450274,6.489048947552412,6.475629229607636,67.47848769704913,62.69620296319189,58.116417534969536,57.77070742382239,58.08555567405888,6.790555475485321,67.47848712981522,57.770707242059714,0.0,0.0,304.09308810553034,1.0,66.41269192527943,1.0,189.7107153251909,1.0,60.790310138258974,1.0,0
69,2025-07-10 10:24:22.185076,6.56017967839486,6.540738159489214,67.49366978113632,62.7329509318972,58.18241003683673,57.835815836117376,58.15180824288477,6.8568080460524685,67.49366921556674,57.83581565500602,0.0,0.0,303.2928875701079,1.0,65.83032990704396,1.0,189.15407851409327,1.0,60.5724788539419,1.0,0
70,2025-07-10 10:24:24.515580,6.6306866719528985,6.605613778271866,67.50878526238944,62.769567345325044,58.247910846828944,57.900690921603946,58.217563307243,6.922563112119635,67.50878469847443,57.900690741165775,0.0,0.0,302.49619746337004,1.0,65.25877774890887,1.0,188.60070986761457,1.0,60.34733476155907,1.0,0
71,2025-07-10 10:24:27.678981,6.700581514905782,6.6702482554567215,67.52383444107636,62.80604897516857,58.312925576874356,57.965324851053765,58.28282673000395,6.987826536558525,67.52383387880623,57.96532467130926,0.0,0.0,301.70300195912967,1.0,64.69759216258808,1.0,188.0505804126642,1.0,60.115338533250906,1.0,0
72,2025-07-10 10:24:30.886681,6.769875303556661,6.7346342626318005,67.51348216249303,62.77287649785181,58.34341762304116,58.02970237699529,58.31404609997448,7.019045920826021,67.51348160157055,58.02970220829876,0.0,0.0,302.2486384354962,1.0,59.915992080732394,1.0,187.59986342615775,1.0,56.42035393293554,1.0,0
73,2025-07-10 10:24:33.475393,6.8340477983948595,6.795062786330183,67.52749979070364,62.8070931966996,58.403532474452156,58.09013036887872,58.37437937336438,7.0793791957117005,67.52749923130546,58.09013020089548,0.0,0.0,301.509812755499,1.0,59.41572821200225,1.0,187.09006451331334,1.0,56.181795299607984,1.0,0
74,2025-07-10 10:24:36.851470,6.89768449128436,6.855235804260656,67.54145310538031,62.841169022727,58.46320843242514,58.150302845423575,58.434269284375404,7.139269108192895,67.54145254749751,58.15030267816911,0.0,0.0,300.7743768422825,1.0,58.92403168616056,1.0,186.58324403418192,1.0,55.938059174991395,1.0,0
