iteration,timestamp,T1,PU1F,PU2F,J280,J269,PU1,PU2,ScadaCommand_PU1,T1S,ScadaCommand_PU2
238,2025-02-21 01:20:59.377667,3.241316556930542,118.407739762555,0.0,2.98998854327454,22.6678894067584,1,0,1.0,3.2743172645568848,0.0
239,2025-02-21 01:21:49.744474,3.2084360122680664,118.432733363936,0.0,2.98998462732589,22.6534701999624,1,0,1.0,3.241316556930542,0.0
240,2025-02-21 01:22:38.542641,3.1756749153137207,118.457699053571,0.0,2.98998071789959,22.6390660134284,1,0,1.0,3.2084360122680664,0.0
241,2025-02-21 01:23:27.872440,3.1405582427978516,119.120424018826,0.0,2.98987666003879,22.2563046002381,1,0,1.0,3.1756749153137207,0.0
242,2025-02-21 01:24:18.542858,3.105562448501587,119.146857759582,0.0,2.98987249802165,22.2410217971671,1,0,1.0,3.1405582427978516,0.0
243,2025-02-21 01:25:09.630606,3.0706875324249268,119.173261177888,0.0,2.98986834132336,22.2257553172421,1,0,1.0,3.0706875324249268,0.0
244,2025-02-21 01:26:00.964791,3.035933256149292,119.199634956769,0.0,2.98986418743476,22.2105047674216,1,0,1.0,3.0706875324249268,0.0
245,2025-02-21 01:26:49.549213,3.0012996196746826,119.225976422067,0.0,2.98986003871702,22.1952717003859,1,0,1.0,3.035933256149292,0.0
246,2025-02-21 01:27:38.415771,2.9667859077453613,119.252288869376,0.0,2.98985589320898,22.1800542132428,1,0,1.0,3.0012996196746826,0.0
247,2025-02-21 01:28:32.296664,2.932392120361328,119.2785690516,0.0,2.98985175480304,22.1648541916514,1,0,1.0,2.9667859077453613,0.0
248,2025-02-21 01:29:22.237422,2.898118019104004,119.304817812873,0.0,2.98984761766018,22.1496711461876,1,0,1.0,2.898118019104004,0.0
249,2025-02-21 01:30:11.804733,2.8639636039733887,119.331039025333,0.0,2.98984348408303,22.1345028441958,1,0,1.0,2.898118019104004,0.0
250,2025-02-21 01:31:00.074780,2.829928398132324,119.357229117154,0.0,2.98983935502274,22.1193513564368,1,0,1.0,2.8639636039733887,0.0
251,2025-02-21 01:31:51.119750,2.7960124015808105,119.383389174146,0.0,2.98983523108189,22.1042160598463,1,0,1.0,2.7960124015808105,0.0
252,2025-02-21 01:32:42.406906,2.749882221221924,121.669518651776,0.0,2.98947179922413,20.7769833493536,1,0,1.0,2.7960124015808105,0.0
253,2025-02-21 01:33:32.234697,2.707275152206421,120.705841736473,0.0,2.98962571575215,21.3375507083248,1,0,1.0,2.749882221221924,0.0
254,2025-02-21 01:34:23.216541,2.664804458618164,120.737465956989,0.0,2.98962068212306,21.3191803659392,1,0,1.0,2.707275152206421,0.0
255,2025-02-21 01:35:15.096761,2.62247371673584,120.768275631856,0.0,2.98961577390166,21.3012814748397,1,0,1.0,2.62247371673584,0.0
