iteration,timestamp,J1,P1F,T1,V1F,P1
115,2026-01-02 13:59:22.858114,67.46004505533006,305.065142514758,6.738028526306152,187.97554010802742,1
116,2026-01-02 13:59:25.638030,67.47232653140422,304.4178240258146,6.794116020202637,187.52824194621098,1
117,2026-01-02 13:59:28.274128,67.48454851278846,303.7736413173389,6.849719524383545,187.08373679032775,1
118,2026-01-02 13:59:30.904840,67.49671100366908,303.1325941686827,6.904849529266357,186.64199566728712,1
119,2026-01-02 13:59:33.712587,67.50881439906723,302.49466175950795,6.959514617919922,186.2029548362898,1
120,2026-01-02 13:59:36.246605,67.63458977135011,295.86543222383955,7.013724327087402,185.37008857947512,1
121,2026-01-02 13:59:39.318936,57.853227693981474,0.0,7.088000297546387,-10.748726879228343,0
122,2026-01-02 13:59:41.776140,57.76540906682877,0.0,6.996382236480713,-10.632188416934696,0
123,2026-01-02 13:59:44.639876,57.677611066126005,0.0,6.905056476593018,-10.523481381028432,0
124,2026-01-02 13:59:47.363555,57.58983504739378,0.0,6.814003944396973,-10.4220465908611,0
125,2026-01-02 13:59:50.143450,57.50208268578504,0.0,6.72320556640625,-10.327356736183901,0
126,2026-01-02 13:59:52.930939,57.414354508258874,0.0,6.6326446533203125,-10.23895404216546,0
127,2026-01-02 13:59:55.795526,57.32665108346885,0.0,6.542304992675781,-10.156380733974402,0
128,2026-01-02 13:59:58.456539,57.23897241716072,0.0,6.45217227935791,-10.079242777578656,0
129,2026-01-02 14:00:01.205965,57.15131858775996,0.0,6.362232208251953,-10.007157728182392,0
130,2026-01-02 14:00:03.837609,57.063688962110085,0.0,6.272472381591797,-9.939792395243785,0
131,2026-01-02 14:00:06.435683,56.97608341723145,0.0,6.1828813552856445,-9.876807793602893,0
132,2026-01-02 14:00:09.016345,56.76676060786719,0.0,6.093447685241699,-11.113089569221302,0
133,2026-01-02 14:00:11.640188,56.668535644156584,0.0,5.99306583404541,-11.05097705760727,0
134,2026-01-02 14:00:14.453388,67.33772283260063,311.51236725413503,5.892839431762695,194.38691420077703,1
135,2026-01-02 14:00:16.969585,67.35290073972894,310.71238687325274,5.966672897338867,193.8227096184164,1
136,2026-01-02 14:00:19.528820,67.36801414599668,309.91580613255456,6.039792060852051,193.2620455477263,1
137,2026-01-02 14:00:21.955377,67.38306331354782,309.1226112152467,6.112213134765625,192.7048930156161,1
138,2026-01-02 14:00:24.343890,67.39804761741243,308.33283506155425,6.183952331542969,192.15120566514088,1
139,2026-01-02 14:00:27.038898,67.41296685280679,307.5464884649937,6.2550249099731445,191.60093713935566,1
140,2026-01-02 14:00:30.041135,67.42782100812546,306.7635720372499,6.325445175170898,191.05402949207928,1
141,2026-01-02 14:00:32.977314,67.44260996563006,305.98409198394677,6.395226955413818,190.51045954483925,1
142,2026-01-02 14:00:35.873127,67.45733375179202,305.20804690985835,6.464383125305176,189.97018094069062,1
143,2026-01-02 14:00:38.442472,67.47199222054343,304.43544451377073,6.532926082611084,189.4331299388341,1
144,2026-01-02 14:00:41.242955,67.54752838413856,300.45416775324844,6.600868225097656,188.62366234998262,1
145,2026-01-02 14:00:49.048529,67.56415490318527,299.5778355338384,6.600868225097656,188.01406272928034,1
146,2026-01-02 14:00:55.204780,67.58071173545538,298.705176288153,6.600868225097656,187.4078587547956,1
147,2026-01-02 14:01:01.353099,67.59719908368913,297.8361793303839,6.600868225097656,186.80504463191028,1
148,2026-01-02 14:01:07.702521,67.61361677801247,296.9708536140666,6.600868225097656,186.20557400367943,1
149,2026-01-02 14:01:13.751893,67.62996488536024,296.10919561127156,6.600868225097656,185.60941789701246,1
150,2026-01-02 14:01:19.996907,67.64624318600609,295.2512169030922,6.600868225097656,185.01653574958254,1
151,2026-01-02 14:01:26.045174,67.66245188711561,294.39690657047544,6.600868225097656,184.42689858829908,1
152,2026-01-02 14:01:32.168133,67.6785909446894,293.54626693249105,6.600868225097656,183.8404832346896,1
153,2026-01-02 14:01:38.485983,67.69466040193832,292.6992957116297,6.600868225097656,183.2572549210454,1
154,2026-01-02 14:01:44.587681,67.71066022643583,291.85599461699434,6.600868225097656,182.67717887965773,1
155,2026-01-02 14:01:50.687741,67.72659068036599,291.0163498296754,6.600868225097656,182.10023772667228,1
156,2026-01-02 14:01:56.830309,67.78449287578289,287.964504805719,6.600868225097656,181.3174022026942,1
157,2026-01-02 14:02:02.891509,67.80175056048344,287.05490580348476,6.600868225097656,180.69095762712095,1
158,2026-01-02 14:02:09.273372,67.81893588461317,286.1491207023708,6.600868225097656,180.06779860002098,1
159,2026-01-02 14:02:15.280074,67.8360491973236,285.2471310996855,6.600868225097656,179.44789035368558,1
160,2026-01-02 14:02:21.406067,67.85308998460606,284.34896408722926,6.600868225097656,178.83120970964228,1
161,2026-01-02 14:02:27.700296,67.87005882732704,283.45458904933145,6.600868225097656,178.2177334894186,1
