,J1,J2,J3,J4,J5,J5S,J1S,J4S
136,-0.00015842176384720462,-0.0001418847115555949,-0.00012601625180082453,-0.0001249660609775438,-0.00012590829791814473,0,0,0
137,-0.00015847209560875485,-0.00014200602763242754,-0.0001262393864226341,-0.00012518043959750647,-0.00012613240313283036,0,0,0
138,-0.00015852221043711866,-0.00014212700049697158,-0.00012646080962322226,-0.00012539425743537835,-0.00012635477145600538,0,0,0
139,-0.00015857210764475105,-0.00014224761314451272,-0.00012668054254954986,-0.00012560747604522637,-0.00012657542531917975,0,0,0
140,-0.00015862178718921094,-0.00014236784998503837,-0.00012689860570347378,-0.00012582005946533357,-0.0001267943864182186,0,0,0
141,-0.00015867124868287007,-0.00014248769620662182,-0.00012711501963212136,-0.0001260319740144822,-0.00012701167642635181,0,0,0
142,-0.00015872049221343998,-0.00014260713816588,-0.0001273298042035631,-0.00012624318814482449,-0.00012722731625852912,0,0,0
143,-0.00015876951728860443,-0.00014272616278248107,-0.0001275429793990457,-0.0001264536723739773,-0.00012744132686365317,0,0,0
144,-0.00015902214709666572,-0.0001433999348562681,-0.00012804227960693803,-0.00012666346588917742,-0.00012793768269253158,0,0,0
145,-0.00015907775429213234,-0.00014353366793110221,-0.00012828305953695217,-0.00012690181790249387,-0.00012817940782435588,0,0,0
146,-0.00015913312842115446,-0.0001436669147842834,-0.00012852206325806637,-0.00012713928423898846,-0.00012841933702067987,0,0,0
147,-0.00015918827016278892,-0.0001437996651762008,-0.00012875930925760227,-0.00012737584019796965,-0.00012865748954408174,0,0,0
148,-0.00015924317894832563,-0.00014393190873143225,-0.00012899481623791618,-0.0001276114624198832,-0.0001288938848382215,0,0,0
149,-0.00015929785500128746,-0.00014406363611577599,-0.00012922860192239095,-0.0001278461289881705,-0.00012912854131685636,0,0,0
150,-0.00015935229758602952,-0.00014419483796390686,-0.00012946068376844532,-0.00012807981919725763,-0.00012936147708816792,0,0,0
151,-0.00015940650739292627,-0.00014432550621485462,-0.00012969107938628599,-0.0001283125135299201,-0.00012959271037351393,0,0,0
152,-0.0001594604842805075,-0.00014445563283028428,-0.00012991980555993377,-0.00012854419366294166,-0.000129822258579384,0,0,0
153,-0.00015951422839024344,-0.00014458521036037674,-0.00013014687893759812,-0.0001287748422916912,-0.00013005013888591543,0,0,0
