iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,J5S_LEVEL,J1S_LEVEL,J4S_LEVEL,P2_FLOW,P2_STATUS,P2_SPEED,P1_FLOW,P1_STATUS,P1_SPEED,V5_FLOW,V5_STATUS,V1_FLOW,V1_STATUS,V4_FLOW,V4_STATUS,plc4AttackerUnit
398,2026-01-01 18:24:34.261746,5.999542164400664,6.0500267767829525,67.39216377661849,62.496170648037676,57.68913876743103,57.34511208191915,57.655990852171925,6.360990633172555,67.39216319832201,57.345111891400784,0.0,0.0,0.0,308.6429540496076,1.0,1.0,73.24408022043372,1.0,193.4105789939622,1.0,63.71864068569266,1.0,0
399,2026-01-01 18:24:36.965075,6.077989589083386,6.118272060591216,67.40828310646997,62.53468057822745,57.760880028054885,57.41335699858604,57.728055626713974,6.433055409811287,67.40828252996583,57.41335680851133,0.0,0.0,0.0,307.79335419864236,1.0,1.0,72.54284740611183,1.0,192.81113154420382,1.0,63.57026079683692,1.0,0
400,2026-01-01 18:24:39.316825,6.155685965334073,6.186358428705798,67.42433635080283,62.573091629075925,57.83207020905562,57.48144297076038,57.799560774599094,6.504560559746836,67.4243357760801,57.48144278116511,0.0,0.0,0.0,306.9472375102714,1.0,1.0,71.85708332485774,1.0,192.21534049847833,1.0,63.40991212425706,1.0,0
401,2026-01-01 18:24:41.963914,6.232647860051111,6.254273061135264,67.4403229593703,62.611397996293476,57.90271553061319,57.549357180466515,57.870512946293594,6.575512733447727,67.4403223864182,57.54935699138424,0.0,0.0,0.0,306.1046329862926,1.0,1.0,71.18604916286131,1.0,191.62315370522265,1.0,63.2383421736904,1.0,0
402,2026-01-01 18:24:44.672008,6.308891048076148,6.322003932104834,67.45624276461939,62.64959442865261,57.97282221379928,57.6170876038717,57.94091876097173,6.645918550090284,67.45624219342723,57.61708741533387,0.0,0.0,0.0,305.2655494579046,1.0,1.0,70.52905246325736,1.0,191.0345421913462,1.0,63.05625499123835,1.0,0
403,2026-01-01 18:24:47.450938,6.384430570960177,6.38953977947003,67.47209545302164,62.687675913719026,58.04239636577193,57.68462298058919,58.01078469529737,6.7157844863402465,67.4720948835789,57.68462279262531,0.0,0.0,0.0,304.43000345022034,1.0,1.0,69.88546161267095,1.0,190.44945380528588,1.0,62.86429667682114,1.0,0
404,2026-01-01 18:24:50.140900,6.459280778553217,6.456870026501869,67.48788117715576,62.725637993481826,58.111444194543274,57.75195273557547,58.08011730230246,6.7851170952313655,67.48788060945199,57.75195254821328,0.0,0.0,0.0,303.59798692129067,1.0,1.0,69.25468266274493,1.0,189.86785377933302,1.0,62.663064076105,1.0,0
405,2026-01-01 18:24:52.685007,6.533455395114097,6.523984752863007,67.50359918885268,62.76347597340525,58.17997166975437,57.819066950026,58.14892287513359,6.853922669911905,67.50359862287759,57.81906676329149,0.0,0.0,0.0,302.76953930478186,1.0,1.0,68.63615063821271,1.0,189.28969575654264,1.0,62.4531366509018,1.0,0
406,2026-01-01 18:24:55.125847,6.606967539132926,6.590874630578335,67.51925016250347,62.801186218832676,58.247984728142065,57.88595629745926,58.21720764726984,6.922207443862497,67.51924959824692,57.88595611137689,0.0,0.0,0.0,301.94462505563644,1.0,1.0,68.02934402344363,1.0,188.71493917458793,1.0,62.23502722491503,1.0,0
407,2026-01-01 18:24:57.889598,6.679829767302092,6.657530910062313,67.53483350477592,62.838764616785745,58.315489278877344,57.952612029649174,58.28497781280972,6.989977611183125,67.5348329422278,57.9526118442419,0.0,0.0,0.0,301.1232754465516,1.0,1.0,67.4337760705157,1.0,188.14355506037828,1.0,62.00924572453914,1.0,0
