iteration,timestamp,T1,PU1F,PU2F,J280,J269,PU1,PU2
183,2025-02-20 05:42:20.076050,4.2376790046691895,92.0268787250495,92.044549146616,2.97733517687681,37.2329015631741,1,1
184,2025-02-20 05:43:43.682706,4.2523064613342285,92.0114304869522,92.0290964739238,2.97734222594414,37.2410510364199,1,1
185,2025-02-20 05:45:13.006007,4.266923904418945,91.995998368309,92.0136599256814,2.97734926160039,37.2491915122791,1,1
186,2025-02-20 05:46:37.892424,4.281532287597656,91.9805647736615,91.9982219013783,2.97735629841556,37.2573322805168,1,1
187,2025-02-20 05:47:58.783181,4.296130657196045,91.9651552632681,91.9828079686098,2.97736332317271,37.2654598569394,1,1
188,2025-02-20 05:49:25.235637,4.310719966888428,91.9497365800435,91.9673848607437,2.97737035161024,37.273591785718,1,1
189,2025-02-20 05:50:50.757991,4.339869499206543,91.9343346835571,91.9519785448003,2.9773773769662,37.2817143790938,1,1
190,2025-02-20 05:52:13.828038,4.339869499206543,91.918941187032,91.9365806315947,2.97738439071452,37.2898320499235,1,1
191,2025-02-20 05:53:37.515941,4.354429721832275,91.9035530874629,91.9211881172595,2.97739139996098,37.2979463879923,1,1
192,2025-02-20 05:55:00.554894,4.368980407714844,91.8881807693493,91.905811389273,2.97739840572988,37.3060519237043,1,1
193,2025-02-20 05:56:24.587293,4.3805670738220215,92.455068730878,92.4728622157504,2.97713947603936,37.0068224786251,1,1
194,2025-02-20 05:57:55.442802,4.3921427726745605,92.4429080397564,92.4606980259143,2.97714504657734,37.0132480980134,1,1
195,2025-02-20 05:59:23.883698,4.4037089347839355,92.4307629760675,92.4485494680196,2.97715060165961,37.0196654075812,1,1
196,2025-02-20 06:00:48.874176,4.41526460647583,92.4186141436759,92.4363971405652,2.97715616993388,37.0260844194601,1,1
197,2025-02-20 06:02:13.675450,4.426810264587402,92.4064771647391,92.4242566702029,2.97716172321154,37.0324968578359,1,1
198,2025-02-20 06:03:36.141898,4.438345909118652,92.3943537249543,92.4121297431141,2.97716727222717,37.038901844858,1,1
