J2,P1F,V_UF,P1,T41
54.811416986232,0.0,-8.51070629096284,0,3.8603415489196777
54.7292515634372,0.0,-8.50592573101494,0,3.778050422668457
54.6470889978161,0.0,-8.50145808044545,0,3.695770025253296
54.5649289521817,0.0,-8.49728885270906,0,3.6135001182556152
54.546396412441,0.0,-7.6597550309998,0,3.5380327701568604
54.4706908818238,0.0,-7.66868164021162,0,3.46254301071167
54.3949796312754,0.0,-7.67698243066661,0,3.3870325088500977
54.3192633878942,0.0,-7.68469796469162,0,3.3115031719207764
54.2435422745436,0.0,-7.69187749654066,0,3.2359557151794434
54.167816714641,0.0,-7.69855579392242,0,3.1603918075561523
54.0920870983235,0.0,-7.70475313800034,0,3.084812641143799
54.0163536175436,0.0,-7.71052168033748,0,3.00921893119812
53.940616556212,0.0,-7.71588749671537,0,2.9336118698120117
53.8648763043979,0.0,-7.72087376560648,0,2.857992649078369
58.8090892764321,0.0,128.190517986013,0,2.8994100093841553
58.8658488789098,0.0,127.852607727732,0,2.947509288787842
59.3382074529862,0.0,130.871490772506,0,3.0268430709838867
59.4060001622621,0.0,130.460603093638,0,3.107924461364746
59.4755671986455,0.0,130.033722268763,0,3.190830707550049
59.5472859864899,0.0,129.587817712604,0,3.2756879329681396
59.6219674774335,0.0,129.116477680213,0,3.362727403640747
59.7022204044636,0.0,128.599473159738,0,3.45253849029541
59.7830599490274,0.0,128.073950550629,0,3.54487943649292
59.8578647778321,0.0,127.590638837205,0,3.638589382171631
59.9305696280968,0.0,127.120567826182,0,3.7332255840301514
60.0021097247172,0.0,126.657007068616,0,3.828531265258789
60.0728532464437,0.0,126.197334499807,0,3.924330234527588
60.1429933763006,0.0,125.740240536061,0,4.020491600036621
59.5657291923689,0.0,121.235156733519,0,4.0682806968688965
59.6021431284569,0.0,121.013782040222,0,4.116477012634277
59.6386333718724,0.0,120.790909438142,0,4.165035247802734
59.6751851244685,0.0,120.56665771695,0,4.213913917541504
59.7117860991756,0.0,120.341157255552,0,4.263075828552246
59.7484239336677,0.0,120.114535535549,0,4.31248664855957
59.7850872596,0.0,119.88688527083,0,4.36211633682251
59.8217655667435,0.0,119.658304969903,0,4.411935806274414
59.8584486579082,0.0,119.428890243967,0,4.46191930770874
59.895127777245,0.0,119.198730909602,0,4.512043476104736
59.9317938984076,0.0,118.967899399536,0,4.562285423278809
59.9684400552991,0.0,118.73647973573,0,4.612624645233154
60.5007214675956,0.0,121.485571155517,0,4.7025628089904785
60.5615998557954,0.0,121.077514147601,0,4.792140483856201
60.6222195936292,0.0,120.670285770075,0,4.881354808807373
60.6825796486499,0.0,120.263909201412,0,4.970202445983887
60.7426796954486,0.0,119.85839603085,0,5.058679580688477
60.8025193051664,0.0,119.453743361078,0,5.146783828735352
60.8620983275165,0.0,119.049977267878,0,5.2345123291015625
60.9214165785151,0.0,118.647112237795,0,5.32186222076416
60.9804734396355,0.0,118.245136681594,0,5.4088311195373535
61.0392685485824,0.0,117.844079572365,0,5.495417594909668
61.0978025767131,0.0,117.443949602034,0,5.581618785858154
61.1560746918343,0.0,117.044743873294,0,5.667433261871338
61.0127873761999,0.0,115.50444456077,0,5.7374091148376465
61.0612398030465,0.0,115.176196828202,0,5.8071513175964355
61.1095023808155,0.0,114.848557530536,0,5.876654148101807
61.1575739500102,0.0,114.5215353597,0,5.945912837982178
61.2054529977316,0.0,114.195156391474,0,6.014922618865967
61.2531381460516,0.0,113.869440907024,0,6.083678245544434
61.3006285381763,0.0,113.544394700966,0,6.1521759033203125
57.3546320674573,0.0,4.47795919512828,0,6.112608909606934
57.3047960563373,0.0,3.817430675781,0,6.071412563323975
57.2538176813776,0.0,3.18257810931755,0,6.028656482696533
57.201765774383,0.0,2.57306251057798,0,5.984408855438232
57.1487072687013,0.0,1.98849853745742,0,5.938737392425537
57.0769559630386,0.0,0.924122800256555,0,5.88868522644043
57.0192465294572,0.0,0.409444818956217,0,5.837398052215576
56.9607785116953,0.0,-0.0829673422231281,0,5.784936904907227
56.9013204407384,0.0,-0.548796692783071,0,5.7313642501831055
56.8408374965004,0.0,-0.986910384881412,0,5.676743507385254
56.77944460213,0.0,-1.39886717079207,0,5.621135234832764
56.717236753383,0.0,-1.78600850460953,0,5.564597129821777
56.6542970297623,0.0,-2.14958312653835,0,5.507183074951172
56.590699221095,0.0,-2.4907760359838,0,5.44894552230835
56.5265093959848,0.0,-2.81073167002432,0,5.389935493469238
56.4617867353273,0.0,-3.11055969802965,0,5.330199241638184
56.3965846906724,0.0,-3.39132343242454,0,5.269782066345215
55.8516940636782,0.0,-10.2173806789096,0,5.16037654876709
55.7398615149413,0.0,-10.2849806938821,0,5.050804138183594
55.6279737489675,0.0,-10.3493125442355,0,4.941072940826416
55.5160340716229,0.0,-10.4105326846593,0,4.83119010925293
55.404045488559,0.0,-10.4687859806063,0,4.721163272857666
55.2920109131627,0.0,-10.5242115029114,0,4.610999584197998
55.1799334552224,0.0,-10.5769454251003,0,4.500705718994141
55.0678150554564,0.0,-10.6271036395356,0,4.390287399291992
54.9556587433942,0.0,-10.6748165251247,0,4.279750823974609
54.8434663678061,0.0,-10.7202057688482,0,4.169102191925049
54.7312419313757,0.0,-10.7633553926689,0,4.058346748352051
54.6189838419996,0.0,-10.8044044674216,0,3.9474895000457764
53.9649211097495,0.0,-15.5126823489127,0,3.7986984252929688
53.8167073089878,0.0,-15.5006179539896,0,3.649937152862549
