iteration,timestamp,T2,J4,V4F,V4
283,2026-01-02 15:40:15.151458,8.907840122796319,60.202913045953345,58.53975868831185,1
284,2026-01-02 15:40:21.302599,8.970538617765984,60.265610729933776,58.18694177492034,1
285,2026-01-02 15:40:27.445701,9.032859226595264,60.32793053076722,57.833603345898155,1
286,2026-01-02 15:40:33.652121,9.0948013951405,60.389871894526,57.479836115135186,1
287,2026-01-02 15:40:39.772228,9.15636466073634,60.45143435882817,57.12574438575757,1
288,2026-01-02 15:40:45.874688,9.21754868610346,60.51262787847752,61.208545392901215,1
289,2026-01-02 15:40:52.014350,9.283105557253528,60.578183904203826,60.85446525275984,1
290,2026-01-02 15:40:58.055872,9.348283199485717,60.643360701843875,60.4989857123428,1
291,2026-01-02 15:41:04.209099,9.4130801022414,60.70815676124559,60.142237150557776,1
292,2026-01-02 15:41:10.455409,9.477494914642447,60.772570731815925,59.78432676783996,1
293,2026-01-02 15:41:16.531359,9.541526393703185,60.83660137093863,59.42540232695137,1
294,2026-01-02 15:41:22.542743,9.605173445121274,60.90024758463618,59.06556813101815,1
295,2026-01-02 15:41:28.530938,9.668435105716162,60.963508409994766,58.704948764329856,1
296,2026-01-02 15:41:34.927816,9.731310519092467,61.02638299093203,58.34363694077638,1
297,2026-01-02 15:41:41.038517,9.793798959461514,61.08887060191552,57.98175145002915,1
298,2026-01-02 15:41:47.108842,9.855899807660165,61.15097062400719,57.619382108669015,1
299,2026-01-02 15:41:53.300475,9.917612538750568,61.21268253255928,57.256636117131166,1
300,2026-01-02 15:41:59.398254,9.978936754781298,61.27426442820675,131.85447820092122,1
301,2026-01-02 15:42:05.508974,10.120158333065463,61.415042423350144,-75.20172531371827,1
302,2026-01-02 15:42:11.573037,10.039614188502537,1.65745158824393e-09,0.0,0
303,2026-01-02 15:42:17.752601,10.039613971282925,61.3345889027758,-32.8621224679182,1
304,2026-01-02 15:42:23.933059,10.004417285573068,61.29939131245491,-33.49835705080295,1
305,2026-01-02 15:42:30.294092,9.968539169226558,61.26351241382568,-34.04037404038718,1
306,2026-01-02 15:42:36.435928,9.93208052307357,61.22696461335947,-75.20172531371827,1
307,2026-01-02 15:42:42.653146,9.851536378969847,61.14651602462394,-29.359756768485568,1
308,2026-01-02 15:42:48.984666,9.820090867671011,61.11506898867891,-30.529811853625688,1
309,2026-01-02 15:42:55.188707,9.787392185376207,61.082368987008664,-31.512382069536216,1
310,2026-01-02 15:43:01.180295,9.753641124143241,61.04861677828925,-32.346242103358236,1
311,2026-01-02 15:43:07.442384,9.718996968983792,61.01397162229824,-33.058878726137664,1
312,2026-01-02 15:43:13.723611,9.683589549023708,60.97846201112205,-79.18923092859131,1
313,2026-01-02 15:43:19.998405,9.598774624062004,60.89364623656604,-79.47387415981666,1
314,2026-01-02 15:43:26.280606,9.513654835605667,60.808525652613454,-79.73960665481172,1
315,2026-01-02 15:43:32.384684,9.428250432363203,60.72312050441688,-79.9877756622891,1
316,2026-01-02 15:43:38.604107,9.342580227514459,60.637449601854556,-80.21961543590805,1
317,2026-01-02 15:43:44.688285,9.256661711610306,60.55153043234889,-80.43628489929233,1
318,2026-01-02 15:43:50.743710,9.170511136662098,60.46537924502471,-80.63883577563047,1
319,2026-01-02 15:43:56.961664,9.084143621391291,60.379011155908245,-80.8282560473117,1
320,2026-01-02 15:44:03.030651,8.997573235672498,60.29244023237095,-81.00542939359912,1
321,2026-01-02 15:44:09.233598,8.910813082754924,60.205679575384934,-81.17119313681087,1
322,2026-01-02 15:44:15.278911,8.823875391404492,60.118741411523935,-81.32631796115675,1
323,2026-01-02 15:44:21.453934,8.736771556414702,60.03163713356289,-81.4715195019744,1
324,2026-01-02 15:44:27.543804,8.649512208970915,59.944460192705925,-48.76748001095166,1
325,2026-01-02 15:44:33.704663,8.597280227321194,59.89222820739803,-48.76933718605869,1
326,2026-01-02 15:44:39.749220,8.545046259671691,59.83999423644644,-48.77101183069499,1
327,2026-01-02 15:44:45.865561,8.49281049941903,59.78775847320052,-48.77252422602396,1
328,2026-01-02 15:44:52.004281,8.440573114259406,59.73552108534196,-48.773897550518086,1
