iteration,timestamp,T1,P1F,J1,V1F,P1
168,2026-01-02 15:28:32.988057,6.600868225097656,281.94295064642154,67.8987389147882,174.33666052284025,1
169,2026-01-02 15:28:39.223824,6.600868225097656,281.2532821488078,67.91182389119044,173.87538574212158,1
170,2026-01-02 15:28:45.400614,6.600868225097656,280.5669247911578,67.92484604583343,173.41630132705177,1
171,2026-01-02 15:28:51.481254,6.600868225097656,279.88382479063597,67.93780639913089,172.95933194759527,1
172,2026-01-02 15:28:57.490983,6.600868225097656,279.2040051357128,67.95070451492595,172.50449498760645,1
173,2026-01-02 15:29:03.651586,6.600868225097656,278.52743754957754,67.96354092971033,172.05178465246718,1
174,2026-01-02 15:29:09.777672,6.600868225097656,277.85412560836437,67.97631557563457,171.60120094217746,1
175,2026-01-02 15:29:15.877705,6.600868225097656,277.1840704375068,67.98902843134597,171.1527438567373,1
176,2026-01-02 15:29:22.245327,6.600868225097656,276.51726857972716,68.00167956243892,170.70640180691043,1
177,2026-01-02 15:29:28.400790,6.600868225097656,275.8537132802651,68.01426909707054,170.26218638193313,1
178,2026-01-02 15:29:34.477031,6.600868225097656,275.1933945637167,68.02679722450257,169.82009178718727,1
179,2026-01-02 15:29:40.627583,6.600868225097656,274.5363191479008,68.03926381727895,169.38011802267283,1
180,2026-01-02 15:29:46.866556,6.600868225097656,270.44088318103763,68.1169659062806,168.75592755354774,1
181,2026-01-02 15:29:53.025269,6.600868225097656,269.654572142592,68.1318844670362,168.2208641057059,1
182,2026-01-02 15:29:59.116818,6.600868225097656,268.8719609500647,68.14673283117313,167.6886921723053,1
183,2026-01-02 15:30:05.276305,6.600868225097656,268.09302486556834,68.16151146803959,167.15936539640097,1
184,2026-01-02 15:30:11.432629,6.600868225097656,267.3177749277475,68.17622016820106,166.63288957261102,1
185,2026-01-02 15:30:17.602809,6.600868225097656,266.5461865396319,68.19085939833212,166.10920675475427,1
186,2026-01-02 15:30:23.888756,6.600868225097656,265.77826954900115,68.20542897159238,165.58833432668507,1
187,2026-01-02 15:30:30.118202,6.600868225097656,265.014011878208,68.21992911712918,165.0702317260766,1
188,2026-01-02 15:30:36.298983,6.600868225097656,264.25341503423783,68.23435980635074,164.55489315831073,1
189,2026-01-02 15:30:42.505056,6.600868225097656,263.496457743906,68.24872144286996,164.04227806106064,1
190,2026-01-02 15:30:48.555195,6.600868225097656,262.7431492280659,68.26301385174096,163.53239222894445,1
191,2026-01-02 15:30:54.843305,6.600868225097656,261.99348470512024,68.27723712368434,163.0252182781078,1
192,2026-01-02 15:31:01.038503,6.600868225097656,261.6657539771202,68.28345510936443,162.5439230917891,1
193,2026-01-02 15:31:07.181185,6.600868225097656,260.94022984896907,68.29722036923775,162.05446328854123,1
194,2026-01-02 15:31:13.271284,6.600868225097656,260.2182626097778,68.31091814479322,161.56757050111992,1
195,2026-01-02 15:31:19.502934,6.600868225097656,259.49986129192405,68.3245482646609,161.08322734567082,1
196,2026-01-02 15:31:25.502661,6.600868225097656,258.7850180011555,68.33811087861726,160.6014222329577,1
197,2026-01-02 15:31:31.746034,6.600868225097656,258.07371664419935,68.35160629199751,160.12212618988997,1
198,2026-01-02 15:31:37.993727,6.600868225097656,240.55932024664236,68.68390429365219,141.06128037724375,1
199,2026-01-02 15:31:44.308786,6.600868225097656,239.66747243250836,68.70082518773782,140.57033715175749,1
200,2026-01-02 15:31:50.611446,6.600868225097656,157.09045131512852,70.26754655666423,91.90664164862028,1
201,2026-01-02 15:31:56.661351,6.600868225097656,0.0,-8.66982406932948e-10,-0.008266747073548686,0
202,2026-01-02 15:32:02.759334,6.600868225097656,0.0,60.91717121559136,-8.826698406210198,0
203,2026-01-02 15:32:08.951630,6.600868225097656,0.0,60.83294154660483,-8.814868693320932,0
204,2026-01-02 15:32:15.285438,6.600868225097656,0.0,60.505772375665344,-11.448673288327882,0
205,2026-01-02 15:32:21.623879,6.600868225097656,0.0,60.400551117831725,-11.412262805379214,0
206,2026-01-02 15:32:27.897873,6.600868225097656,0.0,60.29534698311271,-11.37784277375431,0
207,2026-01-02 15:32:34.055793,6.600868225097656,0.0,60.19015922216546,-11.345297301090795,0
208,2026-01-02 15:32:40.294222,6.600868225097656,0.0,60.08498710105237,-11.314524981571594,0
209,2026-01-02 15:32:46.309343,6.600868225097656,0.0,59.979830057359216,-11.28542440937963,0
210,2026-01-02 15:32:52.505414,6.600868225097656,0.0,59.87468733300038,-11.25791156255218,0
211,2026-01-02 15:32:58.631991,6.600868225097656,0.0,59.769558409046404,-11.23188793258123,0
