iteration,timestamp,P79,T41,T42,P1,J2,J13,J21,V1F
68.0,2024-12-23 14:18:12.934625,0.0,8.62552547454834,8.620779037475586,0.0,59.939002990722656,59.921077728271484,59.939823150634766,-8.167328834533691
69.0,2024-12-23 14:18:20.175188,0.0,8.606218338012695,8.601470947265625,0.0,59.91969680786133,59.90176773071289,59.92051696777344,-8.167412757873535
70.0,2024-12-23 14:18:27.128249,0.0,8.58691120147705,8.58216381072998,0.0,59.900390625,59.88246154785156,59.90121078491211,-8.167441368103027
71.0,2024-12-23 14:18:34.211034,0.0,8.567604064941406,8.562856674194336,0.0,59.881080627441406,59.863155364990234,59.88190460205078,-8.16745376586914
72.0,2024-12-23 14:18:40.986740,0.0,8.548296928405762,8.543549537658691,0.0,59.86177444458008,59.84384536743164,59.86259460449219,-8.167462348937988
73.0,2024-12-23 14:18:48.254034,0.0,8.528142929077148,8.52311897277832,0.0,59.84239959716797,59.82294845581055,59.84328842163086,-8.554878234863281
74.0,2024-12-23 14:18:55.058055,0.0,8.507905006408691,8.502772331237793,0.0,59.82223892211914,59.80266189575195,59.82313537597656,-8.572549819946289
75.0,2024-12-23 14:19:02.169303,0.0,8.487634658813477,8.48245906829834,0.0,59.801998138427734,59.782371520996094,59.802894592285156,-8.579450607299805
76.0,2024-12-23 14:19:09.004330,0.0,8.467351913452148,8.462158203125,0.0,59.7817268371582,59.762081146240234,59.78262710571289,-8.5822114944458
77.0,2024-12-23 14:19:15.958280,0.0,8.447063446044922,8.441863059997559,0.0,59.761444091796875,59.741790771484375,59.76234436035156,-8.583324432373047
78.0,2024-12-23 14:19:23.266753,0.0,8.426773071289062,8.421568870544434,0.0,59.741153717041016,59.721500396728516,59.7420539855957,-8.583776473999023
79.0,2024-12-23 14:19:30.352741,0.0,8.406481742858887,8.401276588439941,0.0,59.720863342285156,59.70120620727539,59.721763610839844,-8.583964347839355
80.0,2024-12-23 14:19:37.509363,0.0,8.386189460754395,8.38098430633545,0.0,59.7005729675293,59.68091583251953,59.701473236083984,-8.584033966064453
81.0,2024-12-23 14:19:44.199019,0.0,8.365898132324219,8.360692024230957,0.0,59.68027877807617,59.660621643066406,59.68117904663086,-8.584063529968262
82.0,2024-12-23 14:19:51.124989,0.0,8.345605850219727,8.340400695800781,0.0,59.65998840332031,59.64033126831055,59.660888671875,-8.584074974060059
83.0,2024-12-23 14:19:58.067161,0.0,8.325313568115234,8.320108413696289,0.0,59.63969802856445,59.62003707885742,59.64059829711914,-8.584080696105957
84.0,2024-12-23 14:20:04.876335,0.0,8.305022239685059,8.299816131591797,0.0,59.61940383911133,59.59974670410156,59.620304107666016,-8.584083557128906
85.0,2024-12-23 14:20:12.015385,0.0,8.276954650878906,8.26921558380127,0.0,59.59836196899414,59.56171798706055,59.600006103515625,-12.174385070800781
