iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS,CloseP1Start
31,2024-11-12 18:14:48.029609,7.270842771319991,5.94679709070276,59.28486830604053,58.367784579802816,59.284864512141596,57.15867562102084,57.28461815965987,0.0,0.0,1311.628494364996,1.0,1268.8650176028204,1.0,1
32,2024-11-12 18:15:00.839891,8.505217988865773,6.052469404641914,60.39808992886541,59.06712931158342,60.39808628623977,57.24198837432403,58.5839837962202,0.0,0.0,1270.1511276996061,1.0,1218.2718446450735,1.0,1
33,2024-11-12 18:15:13.502502,9.678772417658367,6.1762355672608455,61.46878526783988,59.75319230696674,61.468781766495354,57.34772572019542,59.816738422307644,0.0,0.0,1230.2582418168522,1.0,1171.0205409514174,1.0,1
34,2024-11-12 18:15:39.188235,10.668000000000001,6.334113094141103,77.61410948551755,69.68009777074883,77.6141089739196,57.59586049755549,77.61410897391956,0.0,0.0,304.18487914295014,1.0,171.10332735342126,1.0,1
35,2024-11-12 18:15:53.139364,10.668000000000001,6.639287365289061,77.61553058462374,69.69441094502541,77.6155300734723,57.63047668493818,77.61553007347227,0.0,0.0,303.9203100937828,1.0,170.953994249885,1.0,1
36,2024-11-12 18:16:05.623515,10.668000000000001,6.941953448843431,77.62810936875472,69.8206276024043,77.62810886155562,57.935630274010585,77.62810886155557,0.0,0.0,301.5784910448709,1.0,169.63213755389006,1.0,1
37,2024-11-12 18:16:18.978769,10.668000000000001,7.24590305939754,77.65549422811796,70.05142540323699,77.65549372894093,58.238306923609244,77.65549372894087,0.0,0.0,296.4801934160428,1.0,166.9491714187643,1.0,1
38,2024-11-12 18:16:30.848823,10.668000000000001,7.547322558784336,77.66818287673529,70.17660029750742,77.66818238154518,58.542235742667174,77.66818238154512,0.0,0.0,294.11792066157295,1.0,165.6157486650045,1.0,1
39,2024-11-12 18:16:44.281248,10.668000000000001,7.846216183834203,77.68085037970891,70.30079598795507,77.68084988849913,58.84363463316688,77.6808498884991,0.0,0.0,291.7595846366523,1.0,164.2845336607479,1.0,1
40,2024-11-12 18:16:56.864921,10.668000000000001,8.142588200050726,77.69349650785541,70.42401394156109,77.6934960206192,59.14250783161079,77.69349602061915,0.0,0.0,289.4052280088534,1.0,162.9555785575576,1.0,1
